,duration,batch_size,hidden_size,num_layers,dropout,stride,snrValMetric,c50ValMetric,vadValMetric,ValidationMetric,name,only_vad
101,4,32,128,2,0.0,10,33.570152282714844,21.72669792175293,79.61716003414675,0.28919327418976487,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
102,2,128,256,3,0.3,10,23.436981201171875,16.579700469970703,78.69048854610735,0.23221768122371475,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
103,8,64,128,2,0.3,10,34.935665130615234,21.031728744506836,81.35840262460273,0.28487102833760075,dur_8_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
104,8,128,256,2,0.5,10,25.68272590637207,25.61396598815918,81.77410095789915,0.27283909115894106,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
105,4,128,128,2,0.5,10,26.847938537597656,19.78278160095215,81.05569379829,0.251554702362707,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
106,4,64,128,3,0.5,10,24.357820510864258,16.428388595581055,79.92706351049016,0.23060624706231092,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
107,6,32,128,2,0.0,10,31.903762817382812,18.143714904785156,81.02275979106152,0.26159913719628053,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
108,2,32,128,2,0.5,10,27.098159790039062,16.290786743164062,79.41643591884213,0.24126831765916387,dur_2_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
109,6,128,256,3,0.0,10,25.05143928527832,16.108684539794922,82.01127426344321,0.22457022770581583,dur_6_bs_128_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
110,2,128,128,3,0.3,10,24.023456573486328,16.69036865234375,81.12244193892818,0.2266959695828559,dur_2_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
111,10,64,128,3,0.5,10,29.555374145507812,21.54715919494629,83.94990806505773,0.25980889360296266,dur_10_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
112,8,64,128,3,0.3,10,23.497520446777344,6.365570545196533,80.89367922906143,0.17644741675867168,dur_8_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3,False
113,8,128,256,2,0.0,10,23.78523063659668,23.14226531982422,82.80213136143215,0.2509844418250542,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
114,10,64,128,2,0.3,10,23.29364585876465,7.994961261749268,81.46158887378662,0.18159803859012005,dur_10_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3,False
115,2,32,256,2,0.5,10,22.33550262451172,8.772862434387207,80.01800060983356,0.1867523846831415,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5,False
116,8,32,128,3,0.5,10,23.28319549560547,7.149930477142334,81.41898271077,0.17767943507542358,dur_8_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5,False
117,10,32,128,3,0.5,10,22.709989547729492,7.601536273956299,81.16281945733391,0.17867256744131366,dur_10_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5,False
118,10,64,256,3,0.5,10,30.26362419128418,21.222639083862305,82.87002116368228,0.26434827062515986,dur_10_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
119,2,64,128,3,0.5,10,24.64698600769043,15.69334602355957,80.49013785144396,0.2262437456468905,dur_2_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
120,2,64,256,3,0.3,10,23.600698471069336,8.308704376220703,80.11172713295265,0.18866897014408368,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3,False
121,4,128,128,3,0.0,10,23.92296028137207,7.0951247215271,80.25095435170122,0.18355667187233024,dur_4_bs_128_lstm_hs_128_lstm_nl_3_dropout_0,False
122,10,128,128,3,0.0,10,32.75540542602539,15.27484130859375,83.25945829635798,0.2434703923523999,dur_10_bs_128_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
123,10,128,256,2,0.3,10,24.8236083984375,25.816661834716797,81.72390963933994,0.2709571664748178,dur_10_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
124,4,128,256,2,0.5,10,32.866676330566406,18.60464859008789,79.84991446821076,0.27108218782265575,dur_4_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
125,10,128,256,3,0.0,10,22.425678253173828,6.773459434509277,82.19585208681167,0.17028831880839965,dur_10_bs_128_lstm_hs_256_lstm_nl_3_dropout_0,False
126,4,64,128,3,0.5,10,23.102462768554688,8.5584077835083,81.05398498797364,0.18496897902415388,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5,False
127,2,128,128,2,0.5,10,24.522563934326172,7.762583255767822,81.19999158307675,0.1856754608734923,dur_2_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5,False
128,2,32,128,2,0.0,10,29.82870101928711,19.581357955932617,80.43204744036547,0.26313317906663625,dur_2_bs_32_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
129,10,128,128,2,0.5,10,22.75310516357422,8.222222328186035,81.37377864309113,0.1810763008953538,dur_10_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5,False
130,10,128,256,2,0.0,10,23.721527099609375,6.65168571472168,81.86496051469528,0.17535825391699145,dur_10_bs_128_lstm_hs_256_lstm_nl_2_dropout_0,False
131,10,128,256,2,0.5,10,22.938739776611328,7.2449727058410645,82.8430356624698,0.1721765573866392,dur_10_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5,False
132,6,32,256,3,0.0,10,23.57073974609375,6.142664909362793,81.48133215701976,0.17368402807890795,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0,False
133,4,128,256,3,0.5,10,22.608701705932617,7.766905307769775,81.81121220276857,0.1769433339433234,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5,False
134,10,128,128,2,0.0,10,23.54230308532715,6.593653678894043,81.66780474105381,0.17511024061091507,dur_10_bs_128_lstm_hs_128_lstm_nl_2_dropout_0,False
135,10,64,128,3,0.3,10,25.652135848999023,19.63750648498535,81.23797452308135,0.2460595147728637,dur_10_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
136,2,64,128,2,0.3,10,22.90311050415039,9.342167854309082,79.80721414240988,0.19215759102654803,dur_2_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3,False
137,2,64,256,3,0.3,10,26.613496780395508,19.258081436157227,79.22278371263859,0.2543432277780529,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
138,10,64,256,2,0.5,10,24.310192108154297,18.745405197143555,82.55313627192363,0.23271896637676778,dur_10_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
139,2,64,256,2,0.5,10,22.950212478637695,9.141769409179688,79.143975331095,0.1935793788400447,dur_2_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5,False
140,8,32,128,2,0.5,10,32.42497634887695,17.284269332885742,82.27364097740542,0.25516575468912644,dur_8_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
141,6,128,128,2,0.5,10,23.57883071899414,8.199616432189941,81.85161797128109,0.18227313866152592,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5,False
142,4,32,256,2,0.5,10,23.255430221557617,8.024802207946777,80.47928260510267,0.18488040260775188,dur_4_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5,False
143,10,64,256,2,0.0,10,32.1430778503418,17.291316986083984,81.96622049505234,0.2552349323449084,dur_10_bs_64_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
144,6,32,128,3,0.3,10,27.22026824951172,21.543201446533203,80.10908187381338,0.26439944713172353,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
145,2,32,128,3,0.5,10,24.130422592163086,8.271238327026367,80.66248668791486,0.18851337632945273,dur_2_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5,False
146,2,128,256,3,0.0,10,23.300983428955078,15.769009590148926,78.80509580730082,0.22749803909300748,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
147,4,32,256,3,0.5,10,22.449480056762695,7.885026454925537,81.18249092299078,0.17904288074247757,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5,False
148,4,128,256,3,0.0,10,22.974214553833008,15.56481647491455,79.4518709987006,0.22322321616399013,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
149,6,32,128,3,0.5,10,23.198076248168945,7.595369815826416,81.66297044234649,0.1786886183187616,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5,False
