,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name,only_vad
0,6,128,128,3,0.3,10,17.05702781677246,40.00739669799805,0.4600001573562622,0.9821310639381409,0.017101755365729332,0.07822845876216888,0.07822857052087784,1.5377750396728516,1.0191470384597778,32.0,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
1,10,64,256,2,0.5,10,3.734159469604492,4.361837387084961,0.3999999165534973,0.9833200573921204,0.03842144459486008,0.2121274471282959,0.07784032076597214,0.08876364678144455,0.04552338272333145,17.0,dur_10_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5,False
2,8,32,256,3,0.3,10,3.894238233566284,4.385685443878174,0.43999987840652466,0.9838805794715881,0.03880690410733223,0.20623984932899475,0.07587885111570358,0.09167715162038803,0.038683969527482986,28.0,dur_8_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3,False
3,10,64,256,2,0.3,10,3.8989181518554688,4.272216320037842,0.3800000846385956,0.9844078421592712,0.03852960839867592,0.18414396047592163,0.07390967011451721,0.07782444357872009,0.03240983560681343,31.0,dur_10_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3,False
4,8,128,256,2,0.3,10,30.75261688232422,19.89383888244629,0.4400000274181366,0.9847844243049622,0.01470751129090786,0.06811986118555069,0.06811991333961487,1.4872316122055054,2.6219301223754883,32.0,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
5,4,64,256,3,0.0,10,23.53676414489746,13.222893714904785,0.400000661611557,0.9791008234024048,0.01882322132587433,0.10600326955318451,0.10600313544273376,0.7812161445617676,1.8532589673995972,17.0,dur_4_bs_64_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
6,8,128,256,3,0.5,10,18.551965713500977,29.796653747558594,0.4400000274181366,0.9842674136161804,0.015224959701299667,0.07302021235227585,0.07302030920982361,2.228548526763916,1.2425851821899414,33.0,dur_8_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
7,6,128,256,2,0.5,10,4.113489627838135,4.52487850189209,0.3999998867511749,0.981232762336731,0.0414801687002182,0.22710461914539337,0.0831574946641922,0.09127915650606155,0.05266809090971947,30.0,dur_6_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5,False
8,6,128,256,2,0.0,10,24.72466468811035,11.7371826171875,0.43999990820884705,0.9824157953262329,0.017014428973197937,0.07569373399019241,0.07569363713264465,0.4235396087169647,1.8013386726379395,29.0,dur_6_bs_128_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
9,6,64,128,2,0.5,10,4.167749881744385,4.910152435302734,0.5200005173683167,0.980079710483551,0.04328639805316925,0.2866969704627991,0.09357751160860062,0.10958044230937958,0.08353910595178604,32.0,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5,False
10,4,32,256,2,0.5,10,16.4752197265625,14.129088401794434,0.45999962091445923,0.9767577052116394,0.02011081762611866,0.12191897630691528,0.1219186931848526,0.5033723711967468,0.7487972974777222,3.0,dur_4_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
11,6,32,128,3,0.5,10,20.759815216064453,17.07127571105957,0.400000661611557,0.9790705442428589,0.018750740215182304,0.09549788385629654,0.09549795091152191,1.4868422746658325,1.3237535953521729,9.0,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
12,10,64,128,3,0.5,10,3.8110709190368652,4.508911609649658,0.43999993801116943,0.9840022325515747,0.039088502526283264,0.2122129201889038,0.07823937386274338,0.08674099296331406,0.04723244532942772,23.0,dur_10_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5,False
13,6,64,128,2,0.0,10,4.131990909576416,4.64039421081543,0.4599996507167816,0.9813147783279419,0.041885603219270706,0.22954149544239044,0.08470416069030762,0.08822869509458542,0.05660853534936905,32.0,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0,False
14,10,128,256,3,0.3,10,27.928855895996094,35.79738235473633,0.36000004410743713,0.985160768032074,0.014392022043466568,0.06560704112052917,0.06560705602169037,1.6553385257720947,2.066840171813965,31.0,dur_10_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
15,6,32,128,2,0.5,10,22.92222023010254,30.151559829711914,0.4199993312358856,0.9818925261497498,0.01618461310863495,0.08280317485332489,0.0828031674027443,2.428232192993164,1.5732901096343994,31.0,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
16,10,128,128,3,0.5,10,17.120418548583984,31.9910888671875,0.3800000846385956,0.9847685694694519,0.014684592373669147,0.0701896995306015,0.07018977403640747,2.28000807762146,0.9814605712890625,31.0,dur_10_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
17,8,64,128,3,0.5,10,19.12605094909668,16.305246353149414,0.4799997806549072,0.9846757054328918,0.014430033043026924,0.0720394179224968,0.07203980535268784,0.6417835354804993,1.0642048120498657,34.0,dur_8_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
18,6,64,128,3,0.3,10,20.240636825561523,12.072067260742188,0.4200001657009125,0.9817212820053101,0.016808684915304184,0.08031318336725235,0.08031325042247772,0.7028106451034546,1.309532880783081,29.0,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
19,6,32,256,2,0.0,10,19.295780181884766,16.343914031982422,0.400000661611557,0.9815254211425781,0.016673147678375244,0.08618062734603882,0.08618089556694031,0.6410905122756958,0.9459773898124695,12.0,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
